Category,Num_Train_Images,Num_Test_Images,Train_FeatExtraction_Time_sec,Train_FeatExtraction_PeakMem_MB,MemoryBankBuild_Time_sec,MemoryBankBuild_PeakMem_MB,Test_FeatExtraction_Time_sec,Test_FeatExtraction_PeakMem_MB,Test_FeatExtraction_TimePerImage_ms,kNN_Search_Time_sec,kNN_Search_PeakMem_MB,kNN_Search_TimePerImage_ms,PostProcessing_Time_sec,PostProcessing_PeakMem_MB,PostProcessing_TimePerImage_ms,Total_Inference_Time_sec,Total_Inference_TimePerImage_ms
bottle,209,83,11.9728,173.7031,22.6190,755.0796,4.0748,172.1719,49.09,38.4390,0.0000,463.12,0.2444,0.3892,2.94,42.7581,515.16
cable,224,150,20.3905,173.7031,26.3750,808.3984,7.1568,168.0000,47.71,76.8420,0.0000,512.28,0.4572,0.3892,3.05,84.4560,563.04
capsule,219,132,16.7411,173.7031,25.2206,790.9736,5.8991,172.1719,44.69,62.9716,0.0000,477.06,0.3818,0.3892,2.89,69.2525,524.64
carpet,280,117,26.1937,173.7031,41.4871,1008.9644,5.5142,168.0000,47.13,73.2492,0.0000,626.06,0.3486,0.3892,2.98,79.1120,676.17
grid,264,78,17.4815,173.7031,36.2166,951.5024,3.5185,168.0000,45.11,43.5990,0.0000,558.96,0.2335,0.3892,2.99,47.3509,607.06
hazelnut,391,110,35.2461,173.7031,79.0444,1405.8003,5.0716,172.1719,46.11,95.5043,0.0000,868.22,0.3185,0.3892,2.90,100.8944,917.22
leather,245,124,20.7270,173.7031,31.5792,882.9868,5.8185,172.1719,46.92,67.3460,0.0000,543.11,0.3681,0.3892,2.97,73.5326,593.00
metal_nut,220,115,15.0486,173.7031,25.0662,794.5078,5.2247,168.0000,45.43,54.5556,0.0000,474.40,0.3468,0.3892,3.02,60.1271,522.84
pill,267,167,19.4246,173.7031,37.1915,961.5820,7.6624,172.1719,45.88,100.1689,0.0000,599.81,0.4886,0.3892,2.93,108.3198,648.62
screw,320,160,22.3495,173.7031,52.2301,1152.0879,7.3296,168.0000,45.81,110.9774,0.0000,693.61,0.4545,0.3892,2.84,118.7614,742.26
tile,230,117,18.1164,173.7031,27.0372,829.3774,5.4081,168.0000,46.22,59.5178,0.0000,508.70,0.3530,0.3892,3.02,65.2789,557.94
toothbrush,60,42,6.0521,173.7031,2.2921,223.8418,1.8849,168.0000,44.88,6.1406,0.0000,146.20,0.1556,0.3892,3.71,8.1811,194.79
transistor,213,100,19.7122,173.7031,24.3376,770.5806,4.6287,172.1719,46.29,47.3684,0.0000,473.68,0.2912,0.3892,2.91,52.2883,522.88
wood,247,79,22.2518,173.7031,31.7610,889.9106,3.6016,172.1719,45.59,43.3768,0.0000,549.07,0.2297,0.3892,2.91,47.2082,597.57
zipper,240,151,22.5745,173.7031,31.1214,866.0596,6.9916,168.0000,46.30,90.2911,0.0000,597.95,0.4979,0.3892,3.30,97.7806,647.55
